stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
000002.SZ,20260709,32,1351464,330264,1021200,0,-690936,0,-690936,0,0,0,330264,1021200,0,2.96,2.96,225,225,0,,225,0,225,0,0,57,168,330264,1021200,0
000002.SZ,20260709,33,1870555,1181763,688792,0,492971,0,492971,0,0,0,1181763,688792,0,2.97,2.97,173,173,0,,173,0,173,0,0,95,78,1181763,688792,0.0033783783783784566
000002.SZ,20260709,34,4989298,2790018,2199280,-502246.88,1092984.88,-502246.88,1092984.88,0,0,502246.88,2790018,1697033.12,0,2.96,2.96,472,472,0,,472,0,472,0,0,255,217,2790018,2199280,-0.0033670033670034445
000002.SZ,20260709,35,4358534,3483159,875375,0,2607784,0,2617882,0,0,0,3483159,875375,0,2.97,2.97,803,803,0,,803,0,803,0,0,693,110,3488208,870326,0.0033783783783784566
000002.SZ,20260709,36,852967,348958,504009,0,-155051,0,-155051,0,0,0,348958,504009,0,2.97,2.98,309,309,0,,309,0,309,0,0,205,104,348958,504009,0.003367003367003295
000002.SZ,20260709,37,5427442,1644955,3782487,-13614,-2123918,-13614,-2248064,0,298,13912,1644657,3768575,0,2.97,2.97,1689,1689,0,,1689,0,1689,0,0,529,1160,1582882,3844560,-0.0033557046979865056
000002.SZ,20260709,38,3564225,2190205,1374020,894,815291,894,951317,0,894,0,2189311,1374020,0,2.97,2.97,719,719,0,,719,0,715,4,0,601,118,2258218,1306007,0
000002.SZ,20260709,39,4314999,659237,3655762,-64824,-2931701,-64824,-2961995,0,0,64824,659237,3590938,0,2.97,2.96,814,814,0,,814,0,814,0,0,142,672,644090,3670909,-0.0033670033670034445
000002.SZ,20260709,40,3399313,2875609,523704,13422,2338483,13422,2258887,0,15198,1776,2860411,521928,0,2.97,2.97,736,736,0,,736,0,735,1,0,581,155,2835811,563502,0.0033783783783784566
000002.SZ,20260709,41,1403962,632356,771606,0,-139250,0,-139250,0,0,0,632356,771606,0,2.98,2.98,279,279,0,,279,0,279,0,0,120,159,632356,771606,0.003367003367003295
000002.SZ,20260709,42,3279830,1876208,1403622,-598158,1070744,-598158,1070744,0,0,598158,1876208,805464,0,2.98,2.98,535,535,0,,535,0,535,0,0,436,99,1876208,1403622,0
000002.SZ,20260709,43,3556046,3028574,527472,0,2501102,0,2501102,0,0,0,3028574,527472,0,2.98,2.98,1434,1434,0,,1434,0,1432,2,0,1318,116,3028574,527472,0
000002.SZ,20260709,44,4783212,3764447,1018765,0,2745682,0,293142,0,0,0,3764447,1018765,0,2.98,2.99,1266,1266,0,,1266,0,1256,10,0,819,447,2538177,2245035,0.0033557046979866547
000002.SZ,20260709,45,4859472.8,2571101,2288371.8,0,282729.19999999995,0,282729.19999999995,0,0,0,2571101,2288371.8,0,2.99,2.99,763,763,0,,763,0,763,0,0,433,330,2571101,2288371.8,0
000002.SZ,20260709,46,5328937,3326973,2001964,0,1325009,0,1325009,0,0,0,3326973,2001964,0,2.98,2.98,1169,1169,0,,1169,0,1169,0,0,749,420,3326973,2001964,-0.0033444816053512477
000002.SZ,20260709,47,5725604.96,3602366.88,2123238.08,0,1479128.7999999998,0,-2799590.96,0,0,0,3602366.88,2123238.08,0,2.99,2.98,694,694,0,,694,0,692,2,0,203,491,1463007,4262597.96,0
