stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
601872.SH,20260709,baseline_4d,false,量化,买入,0.395833,0.583333,0.020833,-0.214948,0.261404,-0.002277,-0.002211,-0.002211,0,0.007012,0.001062,-0.001789,0.004354,0.002658,0,0.553999,0.005534,0.994466,4.34e-19,3.47e-18,KF did not converge
601890.SH,20260709,baseline_4d,false,量化,卖出,0.375,0.583333,0.041667,-0.038722,-0.169959,0.008929,0.000134,0.000134,0,-0.00399,-0.000025,0.001475,-0.003603,-0.000387,-0,0.88218,0.023687,0.976313,4.34e-19,8.67e-19,KF did not converge
601939.SH,20260709,baseline_4d,false,量化,卖出,0.375,0.583333,0.041667,-0.221466,0.071368,0.004963,0.000659,0.000659,0,-0.000664,0.000051,0,-0.000648,-0.000016,-0,0.863601,0.393011,0.606989,2.17e-19,8.67e-19,KF did not converge
601991.SH,20260709,baseline_4d,false,量化,买入,0.375,0.604167,0.020833,-0.580046,0.39471,0.025064,-0.009322,-0.009322,0,-0.00404,0.006047,-0.006524,-0.023181,0.01914,0,0.512276,0.006269,0.993731,8.67e-19,1.73e-18,KF did not converge
601999.SH,20260709,baseline_4d,false,量化,买入,0.125,0.875,0,-0.663357,0.25828,-0.049454,0.001099,0.001099,0,0.002949,-0.001194,-0.000001,0.00275,0.000199,0,0.932603,0.005316,0.994684,8.67e-19,1.73e-18,KF did not converge
603005.SH,20260709,baseline_4d,false,游资,卖出,0.5,0.4375,0.0625,-0.465305,0.358476,0.002346,-0.000009,-0.000009,0,-0.000066,-0,0,-0.000073,0.000007,0,0.434395,6598.248175,0,2.60e-18,1.73e-18,KF did not converge
603007.SH,20260709,baseline_4d,false,量化,卖出,0.270833,0.729167,0,-0.388335,0.169501,-0.006518,0.002556,0.002556,0,-0.002604,0.001519,-0.000643,-0,-0.002604,-0,0.000029,0.092371,0.907629,1.73e-18,8.67e-19,KF did not converge
603008.SH,20260709,baseline_4d,false,量化,买入,0.25,0.729167,0.020833,0.161495,0.026878,-0.00857,-0.002632,-0.002632,0,0.0017,-0.000383,-0.000067,-0,0.0017,0,0.007235,0.003206,0.996794,1.73e-18,1.73e-18,KF did not converge
603028.SH,20260709,baseline_4d,false,量化,买入,0.145833,0.833333,0.020833,-0.808701,0.32477,-0.005089,0.004806,0.004806,0,0.002016,-0.002521,0.00051,-0.006616,0.008632,0,0.087052,543.70101,0,1.73e-18,1.73e-18,KF did not converge
603045.SH,20260709,baseline_4d,false,游资,买入,0.625,0.354167,0.020833,0.69686,-0.060815,0.000743,0.000511,0.000511,0,0.001616,0.000922,-0.000131,0.001494,0.000122,0,0.706773,0.01388,0.98612,1.73e-18,3.47e-18,KF did not converge
603075.SH,20260709,baseline_4d,false,量化,卖出,0.354167,0.645833,0,-1.120169,0.058499,-0.000132,0.001557,0.001557,0,-0.001582,0.002217,-0.000206,0.000003,-0.001585,-0,0.094904,0.027123,0.972877,1.73e-18,3.47e-18,KF did not converge
603082.SH,20260709,baseline_4d,false,游资,买入,0.541667,0.458333,0,0.073028,0.239085,0.002695,-0.003014,-0.003014,0,0.002817,0.00047,0.000957,0.008085,-0.005001,-0.000267,0.405172,0.001149,0.998851,1.73e-18,3.47e-18,KF did not converge
603095.SH,20260709,baseline_4d,false,量化,卖出,0.458333,0.541667,0,-0.203592,0.093437,-0.001942,-0.000256,-0.000256,0,0.001662,-0.000013,-0.000144,0.001708,-0.000046,-0,0.580007,0.021699,0.978301,5.42e-20,1.73e-18,KF did not converge
603118.SH,20260709,baseline_4d,false,游资,卖出,0.541667,0.458333,0,0.054146,-0.095071,0.06445,-0.020693,-0.020693,0,0.003579,-0.002613,0.001122,-0.01314,0.016719,0,0.234905,0.068416,0.931584,6.94e-18,3.47e-18,KF did not converge
603248.SH,20260709,baseline_4d,false,量化,买入,0.416667,0.5625,0.020833,-0.180626,0.333595,0.007166,-0.001419,-0.001419,0,-0.001594,0.000345,-0.001386,-0.002269,0.000675,0,0.711405,0.013608,0.986392,0.00e0,8.67e-19,KF did not converge | Capital anchor consistency is weak
603289.SH,20260709,baseline_4d,false,量化,买入,0.25,0.729167,0.020833,-0.002594,-0.109747,0.025047,0.005726,0.005726,0,0.000927,-0.000313,0.000934,-0.001038,0.001965,0,0.295911,0.271931,0.728069,1.73e-18,3.47e-18,KF did not converge
603316.SH,20260709,baseline_4d,false,量化,买入,0.4375,0.520833,0.041667,-0.240662,0.404066,0.007767,-0.023256,-0.023256,0,0.011782,0.000819,-0.00236,-0.001546,0.013328,0,0.37649,0.042479,0.957521,3.47e-18,3.47e-18,KF did not converge
603318.SH,20260709,baseline_4d,false,量化,买入,0.3125,0.6875,0,-0.393752,0.304048,-0.003706,-0.00371,-0.00371,0,0.00282,-0.000062,-0.000393,0.000341,0.002479,0,0.12076,0.083347,0.916653,8.67e-19,1.73e-18,KF did not converge
603324.SH,20260709,baseline_4d,false,游资,买入,0.541667,0.416667,0.041667,0.43437,0.068097,-0.010301,0.010551,0.010551,0,0.003917,-0.002587,-0.000269,0.003657,0.00026,0,0.859474,0.586282,0.413718,3.47e-18,3.47e-18,KF did not converge
603330.SH,20260709,baseline_4d,false,量化,买入,0.25,0.75,0,-0.875467,0.260463,0.001017,0.006087,0.006087,0,0.001094,-0.000985,-0,-0.001362,0.002457,0,0.352425,10942.950166,0,8.67e-19,1.73e-18,KF did not converge
603331.SH,20260709,baseline_4d,false,量化,卖出,0.354167,0.625,0.020833,-0.274915,-0.074518,0.000378,0.001801,0.001801,0,-0.000189,0.000684,0.000499,0.000671,-0.000861,-0,0.394968,0.040345,0.959655,3.47e-18,1.73e-18,KF did not converge
603344.SH,20260709,baseline_4d,false,量化,买入,0.229167,0.75,0.020833,-0.010433,0.243845,0.009414,-0.001474,-0.001474,0,0.002511,-0.000053,-0.00041,0.001027,0.001483,0,0.172604,0.027198,0.972802,6.94e-18,3.47e-18,KF did not converge
603359.SH,20260709,baseline_4d,false,量化,买入,0.104167,0.895833,0,0.21481,-0.023176,0.036675,-0.006836,-0.006836,0,0.002756,0.002677,-0.000206,0,0.002756,0,0,0.181415,0.818585,4.34e-19,6.94e-18,KF did not converge
603399.SH,20260709,baseline_4d,false,游资,买入,0.520833,0.479167,0,-0.120958,0.234682,-0.002198,-0.005132,-0.005132,0,0.002039,-0.000117,-0.000417,0.001585,0.000159,0.000295,0.53805,0.155063,0.844937,1.73e-18,1.73e-18,KF did not converge
603407.SH,20260709,baseline_4d,false,游资,买入,0.541667,0.270833,0.1875,-0.204269,-0.092075,-0.000158,-0.008795,-0.008795,0,0.007751,0.000819,0.000987,0.000008,0.007743,0,0.337633,0.033282,0.966718,3.47e-18,1.73e-18,KF did not converge | Capital anchor consistency is weak
603435.SH,20260709,baseline_4d,false,量化,卖出,0.4375,0.5,0.0625,0.048497,-0.247226,-0.015912,0.003099,0.003099,0,0.003376,-0.000362,0.001014,0.005518,-0.00133,-0.000812,0.502151,0.019365,0.980635,1.73e-18,3.47e-18,KF did not converge
