stock_code,transaction_date,window_id,order_age_fifo_count,window_open_price,deal_amount,Q_rule_t,active_buy_amount,active_sell_count,CH_rule_t,active_buy_count,side_fallback_count,large_active_sell_amount,order_age_unresolved_count,order_age_missing_count,passive_retail_amount,window_close_price,small_passive_buy_amount,pi_max_price_impact_pct,signal_deal_sell_amount,order_age_recovered_count,window_trade_count,active_inferred_count,active_non_large_amount,unknown_side_amount,order_age_direct_count,signed_large_active_amount,signal_deal_buy_amount,small_passive_sell_amount,R_seed_t,signed_mix_qr_amount,passive_quant_amount,large_active_buy_amount,active_sell_amount
000002.SZ,20260709,41,0,2.98,1403962,-139250,632356,159,0,120,0,0,0,0,0,2.98,632356,0.003367003367003295,771606,279,279,279,-139250,0,279,0,632356,771606,0,-139250,0,0,771606
000002.SZ,20260709,42,0,2.98,3279830,1070744,1876208,99,-598158,436,0,598158,0,0,0,2.98,1876208,0,1403622,535,535,535,1070744,0,535,-598158,1876208,805464,0,1070744,0,0,1403622
000002.SZ,20260709,43,2,2.98,3556046,2501102,3028574,116,0,1318,0,0,0,0,0,2.98,3028574,0,527472,1434,1434,1434,2501102,0,1432,0,3028574,527472,0,2501102,0,0,527472
000002.SZ,20260709,44,10,2.98,4783212,293142,2538177,447,0,819,0,0,0,0,0,2.99,3764447,0.0033557046979866547,1018765,1266,1266,1266,293142,0,1256,0,3764447,1018765,0,2745682,0,0,2245035
000002.SZ,20260709,45,0,2.99,4859472.8,282729.19999999995,2571101,330,0,433,0,0,0,0,0,2.99,2571101,0,2288371.8,763,763,763,282729.19999999995,0,763,0,2571101,2288371.8,0,282729.19999999995,0,0,2288371.8
000002.SZ,20260709,46,0,2.98,5328937,1325009,3326973,420,0,749,0,0,0,0,0,2.98,3326973,-0.0033444816053512477,2001964,1169,1169,1169,1325009,0,1169,0,3326973,2001964,0,1325009,0,0,2001964
000002.SZ,20260709,47,2,2.99,5725604.96,-2799590.96,1463007,491,0,203,0,0,0,0,0,2.98,3602366.88,0,2123238.08,694,694,694,-2799590.96,0,692,0,3602366.88,2123238.08,0,1479128.7999999998,0,0,4262597.96
000004.SZ,20260709,0,0,0.4,129014.39,87485.61,108250,12,0,27,0,0,0,0,0,0.39,108250,-0.025000000000000022,20764.39,39,39,39,87485.61,0,39,0,108250,20764.39,0,87485.61,0,0,20764.39
000004.SZ,20260709,1,0,0.39,42276,35724,39000,10,0,6,0,0,0,0,0,0.39,468.39,0,41807.61,16,16,16,35724,0,16,0,468.39,41807.61,0,-41339.22,0,0,3276
000004.SZ,20260709,2,0,0.39,4173,-4173,0,7,0,0,0,0,0,0,0,0.39,0,0,4173,7,7,7,-4173,0,7,0,0,4173,0,-4173,0,0,4173
000004.SZ,20260709,3,0,0.39,561419,-35721,262849,26,0,75,0,0,0,0,0,0.42,275649,0.07692307692307684,285770,101,101,101,-35721,0,101,0,275649,285770,0,-10121,0,0,298570
000004.SZ,20260709,4,0,0.42,143556,-143556,0,31,0,0,0,0,0,0,0,0.42,0,0,143556,31,31,31,-143556,0,31,0,0,143556,0,-143556,0,0,143556
000004.SZ,20260709,5,0,0.42,89880,-89880,0,20,0,0,0,0,0,0,0,0.42,0,0,89880,20,20,20,-89880,0,20,0,0,89880,0,-89880,0,0,89880
000004.SZ,20260709,6,0,0.42,490723.8,-490723.8,0,28,0,0,0,0,0,0,0,0.42,0,0,490723.8,28,28,28,-490723.8,0,28,0,0,490723.8,0,-490723.8,0,0,490723.8
000004.SZ,20260709,7,0,0.42,7737.2,-5141.6,1297.8,17,0,2,0,0,0,0,0,0.41,1297.8,-0.023809523809523832,6439.4,19,19,19,-5141.6,0,19,0,1297.8,6439.4,0,-5141.6,0,0,6439.4
000004.SZ,20260709,8,0,0.41,5574.22,-282.2199999999999,2646,9,0,2,0,0,0,0,0,0.41,2646,0,2928.22,11,11,11,-282.2199999999999,0,11,0,2646,2928.22,0,-282.2199999999999,0,0,2928.22
000004.SZ,20260709,9,0,0.41,10250,-10250,0,6,0,0,0,0,0,0,0,0.41,0,0,10250,6,6,6,-10250,0,6,0,0,10250,0,-10250,0,0,10250
000004.SZ,20260709,10,0,0.42,193213.02,164317.02,178765.02,7,0,29,0,0,0,0,0,0.42,178765.02,0.024390243902439046,14448,36,36,36,164317.02,0,36,0,178765.02,14448,0,164317.02,0,0,14448
000004.SZ,20260709,11,0,0.42,36918,-36918,0,15,0,0,0,0,0,0,0,0.42,0,0,36918,15,15,15,-36918,0,15,0,0,36918,0,-36918,0,0,36918
000004.SZ,20260709,12,0,0.42,5208,-5208,0,8,0,0,0,0,0,0,0,0.42,0,0,5208,8,8,8,-5208,0,8,0,0,5208,0,-5208,0,0,5208
000004.SZ,20260709,13,0,0.42,11592,-11592,0,7,0,0,0,0,0,0,0,0.42,0,0,11592,7,7,7,-11592,0,7,0,0,11592,0,-11592,0,0,11592
000004.SZ,20260709,14,0,0.42,5712,-5712,0,5,0,0,0,0,0,0,0,0.42,0,0,5712,5,5,5,-5712,0,5,0,0,5712,0,-5712,0,0,5712
