stock_code,transaction_date,window_id,active_sell_count,CH_rule_t,order_age_direct_count,passive_quant_amount,deal_amount,active_inferred_count,order_age_recovered_count,pi_max_price_impact_pct,order_age_fifo_count,signal_deal_sell_amount,active_sell_amount,active_buy_amount,window_close_price,large_active_sell_amount,order_age_unresolved_count,small_passive_sell_amount,active_buy_count,active_non_large_amount,window_open_price,signed_large_active_amount,small_passive_buy_amount,side_fallback_count,passive_retail_amount,order_age_missing_count,signed_mix_qr_amount,unknown_side_amount,large_active_buy_amount,Q_rule_t,signal_deal_buy_amount,window_trade_count,R_seed_t
000002.SZ,20260709,34,217,-502246.88,472,0,4989298,472,472,-0.0033670033670034445,0,2199280,2199280,2790018,2.96,502246.88,0,1697033.12,255,1092984.88,2.96,-502246.88,2790018,0,0,0,1092984.88,0,0,1092984.88,2790018,472,0
000002.SZ,20260709,35,110,0,803,0,4358534,803,803,0.0033783783783784566,0,875375,870326,3488208,2.97,0,0,875375,693,2617882,2.97,0,3483159,0,0,0,2607784,0,0,2617882,3483159,803,0
000002.SZ,20260709,36,104,0,309,0,852967,309,309,0.003367003367003295,0,504009,504009,348958,2.98,0,0,504009,205,-155051,2.97,0,348958,0,0,0,-155051,0,0,-155051,348958,309,0
000002.SZ,20260709,37,1160,-13614,1689,0,5427442,1689,1689,-0.0033557046979865056,0,3782487,3844560,1582882,2.97,13912,0,3768575,529,-2248064,2.97,-13614,1644657,0,0,0,-2123918,0,298,-2248064,1644955,1689,0
000002.SZ,20260709,38,118,894,715,0,3564225,719,719,0,4,1374020,1306007,2258218,2.97,0,0,1374020,601,951317,2.97,894,2189311,0,0,0,815291,0,894,951317,2190205,719,0
000002.SZ,20260709,39,672,-64824,814,0,4314999,814,814,-0.0033670033670034445,0,3655762,3670909,644090,2.96,64824,0,3590938,142,-2961995,2.97,-64824,659237,0,0,0,-2931701,0,0,-2961995,659237,814,0
000002.SZ,20260709,40,155,13422,735,0,3399313,736,736,0.0033783783783784566,1,523704,563502,2835811,2.97,1776,0,521928,581,2258887,2.97,13422,2860411,0,0,0,2338483,0,15198,2258887,2875609,736,0
000002.SZ,20260709,41,159,0,279,0,1403962,279,279,0.003367003367003295,0,771606,771606,632356,2.98,0,0,771606,120,-139250,2.98,0,632356,0,0,0,-139250,0,0,-139250,632356,279,0
000002.SZ,20260709,42,99,-598158,535,0,3279830,535,535,0,0,1403622,1403622,1876208,2.98,598158,0,805464,436,1070744,2.98,-598158,1876208,0,0,0,1070744,0,0,1070744,1876208,535,0
000002.SZ,20260709,43,116,0,1432,0,3556046,1434,1434,0,2,527472,527472,3028574,2.98,0,0,527472,1318,2501102,2.98,0,3028574,0,0,0,2501102,0,0,2501102,3028574,1434,0
